existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker
1,1,no checking,existing paid,new car,<100,1<=X<4,male single,guarantor,life insurance,none,rent,skilled,none,yes
2,1,no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,no known property,none,own,skilled,none,yes
2,1,0<=X<200,no credits/all paid,business,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes
2,1,no checking,critical/other existing credit,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,radio/tv,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes
2,2,<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,no
1,1,<0,existing paid,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,male single,co applicant,no known property,none,rent,high qualif/self emp/mgmt,yes,yes
2,1,no checking,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes
1,1,0<=X<200,existing paid,radio/tv,<100,>=7,male mar/wid,guarantor,real estate,none,own,unskilled resident,none,yes
2,2,>=200,critical/other existing credit,new car,100<=X<500,>=7,male div/sep,none,car,none,own,skilled,yes,yes
